PersonDOB,PersonAge,NumFollowers,,
7/24/2011,10,926455,,
4/8/2004,17,592779,,
4/17/1991,30,731709,,
6/6/1981,40,82121,,
10/22/1974,46,399560,,
1/18/1961,60,80965,,
11/13/1968,52,296888,,
3/10/2008,13,780676,,
6/1/2005,16,279223,,
10/10/1969,51,60216,,
1/26/2009,12,56216,,
5/18/2010,11,527017,,
4/26/1970,51,92417,,
7/24/2005,16,98972,,
3/20/1981,40,151620,,
6/16/2003,18,104784,,
11/15/1984,36,699877,,
11/30/2002,18,912203,,
3/3/1957,64,880196,,
8/10/2009,12,492558,,
7/29/1982,39,457261,,
3/4/1963,58,605386,,
12/17/1987,33,655435,,
11/21/1974,46,862764,,
6/28/1993,28,605539,,
5/15/1996,25,239444,,
3/13/1986,35,375235,,
2/26/1994,27,673534,,
4/14/1963,58,271390,,
1/9/1990,31,681873,,
11/28/2003,17,79576,,
2/26/2002,19,820564,,
11/9/1961,59,811287,,
10/15/2008,12,19577,,
3/20/1988,33,94420,,
9/26/1962,59,476669,,
5/13/2008,13,208068,,
9/18/1988,33,383551,,
8/22/2003,18,710930,,
4/29/1996,25,940861,,
4/30/1998,23,868864,,
5/9/2006,15,493648,,
4/10/1997,24,981555,,
4/18/1992,29,402493,,
8/17/1976,45,193214,,
8/20/1996,25,305953,,
6/1/1975,46,133995,,
12/2/2014,6,237692,,
2/7/2005,16,47759,,
11/29/2014,6,94386,,
5/22/1990,31,714495,,
6/17/1983,38,83707,,
1/11/1994,27,148014,,
1/19/1967,54,894153,,
5/6/1964,57,995089,,
10/19/1973,47,75985,,
4/9/1985,36,672783,,
1/10/1984,37,72846,,
10/24/1956,64,235616,,
5/13/1983,38,564721,,
8/15/1969,52,813491,,
12/14/1996,24,855251,,
11/9/1961,59,170964,,
12/10/1974,46,529533,,
11/26/1966,54,355578,,
9/1/1989,32,480183,,
2/4/1959,62,480633,,
10/29/1975,45,569119,,
8/25/2000,21,795822,,
1/7/1989,32,799605,,
8/8/1970,51,540490,,
5/10/1961,60,260711,,
8/1/1990,31,855763,,
6/3/1975,46,374626,,
3/6/1975,46,691142,,
2/24/1982,39,586295,,
2/4/1986,35,696546,,
9/5/2003,18,108288,,
5/17/2015,6,377604,,
4/2/1962,59,107242,,
12/21/1973,47,138239,,
3/6/1997,24,967049,,
2/3/1988,33,196518,,
8/12/1997,24,654947,,
2/4/1981,40,16055,,
11/19/1983,37,342268,,
3/12/1989,32,318345,,
7/20/1991,30,863035,,
7/9/2004,17,134872,,
10/14/1972,48,74588,,
2/18/1965,56,563866,,
7/20/1976,45,110502,,
2/5/1985,36,963224,,
3/18/1959,62,632672,,
3/28/1984,37,387101,,
11/25/2012,8,728286,,
3/15/2005,16,737303,,
12/3/2008,12,965599,,
11/23/1992,28,98685,,
8/1/2003,18,617679,,
5/4/2010,11,53741,,
1/14/1981,40,802132,,
7/21/2004,17,271355,,
4/3/1962,59,196954,,
9/8/2012,9,37979,,
1/28/1960,61,282797,,
11/19/2001,19,107030,,
8/19/2015,6,598732,,
5/18/1989,32,425523,,
2/2/2000,21,594146,,
5/1/1962,59,937204,,
3/17/1988,33,42108,,
7/25/1972,49,305068,,
6/28/1986,35,420197,,
11/1/1962,58,834198,,
9/26/1986,34,331543,,
12/19/1986,34,872551,,
11/1/1960,60,520929,,
3/22/1982,39,141499,,
12/11/2010,10,496156,,
5/9/1993,28,868928,,
3/14/1984,37,761633,,
6/9/1983,38,997923,,
5/1/1971,50,272323,,
9/6/1984,37,225905,,
6/27/1986,35,826555,,
2/10/1975,46,677804,,
1/12/1996,25,673281,,
10/24/1958,62,273554,,
11/28/1990,30,123347,,
5/24/1983,38,125163,,
3/1/1970,51,62230,,
1/6/1975,46,374417,,
1/6/1984,37,215900,,
10/20/2012,8,447344,,
12/31/2007,13,842636,,
4/26/1965,56,177243,,
3/31/2014,7,571535,,
6/28/1958,63,491341,,
11/29/1996,24,382262,,
6/22/2015,6,476698,,
2/21/1979,42,833810,,
5/13/1981,40,333919,,
12/27/2000,20,201982,,
11/24/2011,9,784092,,
11/6/2006,14,232617,,
11/17/1986,34,529114,,
11/23/1971,49,249415,,
12/9/1996,24,600625,,
2/9/2002,19,751961,,
11/14/1992,28,656271,,
6/25/1983,38,766476,,
3/5/1969,52,554098,,
9/13/1983,38,665079,,
3/20/2001,20,805337,,
1/10/2006,15,168754,,
4/28/1978,43,965360,,
9/5/1958,63,373000,,
6/21/1971,50,58087,,
12/17/2010,10,972197,,
6/8/1999,22,500350,,
12/4/1983,37,368248,,
7/11/1963,58,964894,,
5/4/1956,65,39870,,
9/26/2000,20,287352,,
1/25/1984,37,274066,,
7/3/2007,14,16405,,
6/26/1957,64,223589,,
11/20/1980,40,532365,,
6/27/1959,62,438841,,
1/29/1993,28,401378,,
10/25/1979,41,608297,,
3/10/1958,63,869703,,
7/27/2003,18,52979,,
11/8/1968,52,675560,,
9/1/1980,41,136480,,
1/26/1976,45,152769,,
12/12/1974,46,109234,,
12/4/1965,55,125517,,
12/3/1992,28,740176,,
1/7/1988,33,49931,,
12/10/1992,28,73610,,
12/11/1959,61,530130,,
5/5/2015,6,11481,,
12/5/2011,9,718932,,
4/23/1968,53,553666,,
10/9/1983,37,543357,,
5/15/1991,30,624273,,
3/30/1982,39,922860,,
4/29/1996,25,860982,,
11/23/1967,53,363889,,
3/30/1981,40,986011,,
3/20/1969,52,14094,,
4/2/2011,10,580612,,
8/16/1994,27,829559,,
8/6/1972,49,910315,,
10/9/1996,24,978768,,
11/18/1980,40,459568,,
9/18/2006,14,189140,,
7/23/1984,37,204318,,
7/20/1967,54,462522,,
10/23/2010,10,651429,,
8/9/1968,53,198913,,
9/8/1966,55,164450,,
2/17/2015,6,781937,,
5/14/1996,25,893536,,
10/25/1978,42,175035,,
5/4/2011,10,486128,,
7/4/2006,15,673555,,
5/12/1999,22,232063,,
8/29/2009,12,429204,,
3/19/1987,34,571910,,
7/14/1992,29,296309,,
1/3/1962,59,27444,,
12/6/2014,6,770011,,
2/10/2010,11,415507,,
7/5/1965,56,551999,,
2/4/1961,60,445013,,
8/24/2013,8,302396,,
8/16/1983,38,570056,,
9/1/1996,25,738881,,
2/2/2009,12,142453,,
7/13/1966,55,524031,,
6/27/1967,54,239287,,
1/14/2009,12,774383,,
8/4/1965,56,729620,,
7/23/1965,56,630412,,
7/28/2011,10,753424,,
7/27/2009,12,38617,,
10/30/1976,44,582773,,
3/9/1989,32,788817,,
11/10/1991,29,503161,,
9/1/1979,42,667002,,
7/11/2006,15,801395,,
11/2/2008,12,745955,,
6/3/2012,9,38661,,
2/8/1971,50,720312,,
8/4/1969,52,701138,,
1/22/1965,56,7153,,
1/17/1965,56,621067,,
11/8/1990,30,180004,,
4/5/2011,10,653490,,
11/16/1962,58,965360,,
5/30/1963,58,118571,,
12/11/1966,54,183981,,
10/3/1969,51,247417,,
9/6/1958,63,237194,,
8/22/1970,51,979739,,
8/2/2010,11,198371,,
8/8/1984,37,330616,,
10/7/1983,37,372394,,
6/10/1981,40,147685,,
8/17/1959,62,678943,,
6/18/1974,47,68507,,
5/9/2004,17,517167,,
2/19/2004,17,276001,,
12/9/1984,36,380827,,
10/24/1986,34,666200,,
2/16/1963,58,930187,,
5/22/1964,57,847987,,
7/3/1996,25,566246,,
12/6/2011,9,307001,,
10/8/1973,47,612517,,
9/3/1958,63,62808,,
5/25/1983,38,344002,,
2/21/2013,8,222856,,
1/10/1972,49,883500,,
6/12/1990,31,27608,,
10/20/1983,37,905245,,
2/21/1965,56,272059,,
5/29/2001,20,915331,,
1/24/1984,37,206555,,
6/6/1963,58,663006,,
9/16/2013,7,220259,,
7/29/1982,39,567565,,
6/20/2015,6,620142,,
7/16/1991,30,100433,,
9/29/1997,23,196608,,
10/4/1957,63,16084,,
12/5/2013,7,571826,,
11/13/1979,41,634914,,
7/28/1962,59,754980,,
4/23/2005,16,131056,,
5/10/1966,55,641687,,
9/13/1991,30,766625,,
6/1/2000,21,722098,,
10/16/1974,46,496513,,
4/15/2000,21,882213,,
6/21/1998,23,710267,,
7/1/1993,28,637427,,
7/10/2013,8,29366,,
6/25/1978,43,743560,,
5/23/1984,37,397980,,
6/14/1984,37,457953,,
12/19/1971,49,71698,,
2/19/1970,51,827947,,
6/26/1995,26,272150,,
2/2/1957,64,401586,,
7/31/1969,52,242166,,
4/30/1962,59,111343,,
9/5/2004,17,128538,,
1/19/1985,36,643406,,
8/11/1991,30,645722,,
5/7/2001,20,720172,,
3/18/1968,53,446875,,
4/9/2007,14,117364,,
3/5/2005,16,645274,,
3/23/1962,59,475072,,
9/1/1993,28,298702,,
12/12/1996,24,56505,,
10/11/2004,16,44921,,
3/20/1988,33,984182,,
8/14/2003,18,951264,,
2/21/2012,9,517831,,
4/22/2013,8,880593,,
8/24/2008,13,188686,,
8/27/1979,42,360757,,
5/23/1961,60,69469,,
9/5/1991,30,197252,,
11/16/2009,11,69298,,
6/13/1977,44,827868,,
11/30/2001,19,124450,,
6/29/1980,41,253117,,
10/21/1974,46,169099,,
1/15/1983,38,856587,,
12/8/1993,27,644634,,
9/25/1976,44,61137,,
5/30/1973,48,957421,,
10/22/2002,18,338743,,
1/19/2005,16,834046,,
10/13/2012,8,386524,,
12/7/1966,54,815142,,
1/9/1956,65,748247,,
11/4/1978,42,368172,,
4/4/1984,37,992551,,
11/24/1997,23,445196,,
8/4/2011,10,749475,,
6/2/2002,19,466409,,
5/17/1960,61,28455,,
6/14/1972,49,728543,,
4/4/1974,47,729015,,
4/6/1970,51,841139,,
12/28/1967,53,696153,,
6/19/1964,57,907715,,
1/24/1994,27,72435,,
7/16/1975,46,694489,,
1/13/1961,60,777787,,
9/30/1972,48,298192,,
4/13/1965,56,982658,,
2/26/2003,18,180370,,
1/2/1973,48,882752,,
2/28/1979,42,793908,,
8/28/2014,7,697177,,
11/27/1979,41,297494,,
11/30/1993,27,665558,,
11/30/1966,54,198716,,
4/2/2013,8,849934,,
7/15/1972,49,996537,,
10/24/1968,52,4859,,
3/12/1966,55,273799,,
8/14/2006,15,820973,,
1/5/2005,16,166142,,
1/22/1963,58,906267,,
7/30/1985,36,516833,,
1/4/1976,45,147493,,
8/14/2003,18,797030,,
10/2/1957,63,657599,,
9/4/2015,6,231829,,
5/30/1984,37,537134,,
4/19/2005,16,238850,,
11/15/1989,31,809672,,
9/21/2010,10,650820,,
8/3/1964,57,861510,,
10/1/1997,23,800967,,
7/14/1973,48,529428,,
10/3/1997,23,541856,,
4/6/1997,24,786505,,
3/14/1993,28,316102,,
1/24/1983,38,304385,,
3/8/1957,64,935084,,
9/1/2000,21,897896,,
5/21/2003,18,233624,,
11/20/2014,6,110644,,
3/5/1974,47,300113,,
10/26/2011,9,354068,,
1/7/1966,55,570971,,
3/26/1995,26,715868,,
8/15/1982,39,95044,,
11/15/2008,12,276034,,
11/10/1957,63,507151,,
5/17/1973,48,766331,,
8/27/1965,56,488499,,
5/19/2000,21,719497,,
11/3/2000,20,664476,,
7/30/1989,32,406892,,
12/20/1963,57,939231,,
10/17/1975,45,807365,,
1/25/2011,10,885450,,
6/22/2014,7,96471,,
1/13/1964,57,763730,,
12/21/1990,30,157839,,
12/20/1992,28,25660,,
11/17/2008,12,941779,,
2/22/1984,37,481837,,
12/2/1961,59,630840,,
5/17/1995,26,463271,,
11/23/1985,35,577945,,
6/13/2014,7,691899,,
1/7/1995,26,785271,,
11/30/1976,44,58162,,
3/6/1977,44,255267,,
9/18/1976,45,72021,,
3/19/2008,13,666703,,
4/27/1963,58,291837,,
12/26/1970,50,636515,,
2/19/1963,58,556775,,
4/15/1988,33,117197,,
6/10/1998,23,643245,,
4/28/1963,58,716699,,
3/19/1980,41,634539,,
10/9/1996,24,646531,,
1/11/1971,50,475784,,
11/16/1966,54,558094,,
10/4/2001,19,907078,,
9/28/1986,34,926397,,
1/15/1999,22,608608,,
8/20/2004,17,133382,,
11/12/2005,15,426854,,
9/27/2014,6,551,,
11/28/1967,53,133891,,
11/14/2004,16,868736,,
10/21/1998,22,574076,,
11/14/1973,47,417154,,
10/3/1959,61,694806,,
10/14/1983,37,213266,,
1/30/1983,38,148122,,
8/25/1999,22,729016,,
8/17/1984,37,886353,,
1/11/1962,59,556466,,
2/14/2014,7,917670,,
4/22/2012,9,209361,,
6/11/2003,18,730113,,
2/23/1966,55,950892,,
1/25/2000,21,610287,,
3/4/1993,28,960229,,
9/10/2013,8,829837,,
2/26/2006,15,602827,,
6/15/1983,38,656147,,
2/8/2008,13,435673,,
6/10/2012,9,758203,,
12/25/1976,44,810211,,
3/20/2010,11,185742,,
4/30/1975,46,232221,,
12/10/2006,14,536285,,
6/23/1992,29,363270,,
4/5/1968,53,512735,,
2/6/1981,40,92098,,
2/6/1992,29,181094,,
5/27/1987,34,415133,,
3/8/2002,19,959606,,
5/26/1986,35,960182,,
4/6/1961,60,241766,,
8/24/2004,17,636508,,
10/21/1996,24,189994,,
6/25/2000,21,287012,,
12/24/1979,41,86987,,
4/14/1999,22,397578,,
9/22/1967,54,100454,,
3/23/1996,25,698938,,
1/20/1973,48,236026,,
9/11/2011,10,335347,,
8/17/1994,27,721668,,
6/23/1971,50,895229,,
12/7/1958,62,451784,,
10/5/2006,14,534278,,
8/29/1976,45,742490,,
4/2/1966,55,642640,,
2/18/1958,63,94770,,
9/21/1989,32,975715,,
8/5/1962,59,306674,,
8/17/1978,43,321286,,
4/6/1984,37,71668,,
12/29/1977,43,472663,,
7/12/1966,55,520712,,
10/5/1960,60,915606,,
5/30/1983,38,928315,,
12/11/1989,31,348785,,
1/5/1995,26,978116,,
12/13/1960,60,95504,,
5/10/1990,31,964019,,
2/17/1969,52,626849,,
1/26/2013,8,585124,,
6/16/1972,49,20549,,
2/11/1992,29,793872,,
7/28/1962,59,452878,,
3/19/2012,9,596690,,
12/15/1959,61,333427,,
7/14/2003,18,839409,,
10/29/2011,9,201351,,
7/2/1977,44,258483,,
7/17/1996,25,524312,,
4/14/1966,55,211660,,
3/25/2008,13,749906,,
1/10/1966,55,262669,,
10/17/1983,37,386300,,
11/9/1969,51,284646,,
4/26/1960,61,647037,,
3/15/1978,43,895246,,
11/14/1988,32,369771,,
5/30/1989,32,107818,,
11/28/1983,37,665382,,
8/5/1963,58,250568,,
12/5/1986,34,825625,,
1/25/1967,54,925160,,
2/11/2002,19,248461,,
2/15/2001,20,549984,,
9/18/1979,42,367045,,
10/26/1957,63,988760,,
8/16/1999,22,944239,,
1/19/1957,64,109444,,
3/1/1963,58,464631,,
8/2/1992,29,697040,,
11/9/1972,48,309553,,
5/1/1998,23,823868,,
3/15/2002,19,883044,,
12/11/1989,31,88193,,
2/7/1995,26,246511,,
6/13/1986,35,372645,,
3/2/1965,56,165435,,
11/10/1959,61,552833,,
4/23/1964,57,56830,,
11/27/1977,43,261878,,
6/10/2003,18,554016,,
3/30/1983,38,508746,,
4/27/1957,64,1699,,
7/30/2012,9,569507,,
4/13/1972,49,727718,,
9/7/2005,16,937378,,
7/15/2011,10,182858,,
7/19/1956,65,865418,,
1/10/2001,20,522064,,
7/12/1975,46,609370,,
6/17/1992,29,197625,,
4/29/1977,44,210581,,
8/3/2010,11,594988,,
4/6/1965,56,661917,,
3/23/1959,62,526252,,
5/2/1964,57,414018,,
3/23/1968,53,767858,,
7/25/1962,59,911897,,
12/15/1962,58,932614,,
9/2/1963,58,882676,,
8/25/2005,16,916735,,
6/11/1982,39,3617,,
8/11/2009,12,828556,,
12/6/2010,10,465427,,
9/23/1977,44,234182,,
5/12/1985,36,115586,,
3/1/2011,10,703693,,
12/21/1986,34,47278,,
3/24/1973,48,588365,,
6/8/1968,53,228990,,
6/27/2003,18,423389,,
5/31/1999,22,290165,,
6/18/1976,45,944726,,
5/2/1979,42,501428,,
12/17/1991,29,519474,,
12/29/1963,57,740128,,
11/11/1982,38,830450,,
1/17/1972,49,388895,,
6/28/2013,8,456142,,
5/11/1989,32,48692,,
3/21/1958,63,785682,,
12/11/1975,45,932247,,
9/18/1994,27,407968,,
4/17/1990,31,991605,,
4/3/2004,17,357966,,
2/24/1990,31,720720,,
2/8/1982,39,701446,,
11/4/1955,65,367527,,
7/26/1980,41,650977,,
12/5/1960,60,13979,,
3/16/1991,30,2169,,
5/26/2011,10,101359,,
11/27/2012,8,204531,,
11/8/1979,41,410772,,
6/17/1980,41,374490,,
12/25/2011,9,436861,,
8/1/2013,8,221488,,
7/27/2015,6,806967,,
12/26/1994,26,742272,,
12/6/1973,47,791015,,
7/10/1980,41,777263,,
7/28/1972,49,542302,,
8/12/1997,24,238091,,
6/12/1993,28,284334,,
7/7/2007,14,783453,,
4/3/1961,60,569801,,
12/16/1999,21,9434,,
9/30/1957,63,735259,,
1/7/1990,31,56858,,
6/20/1962,59,748462,,
5/1/1995,26,451257,,
3/8/1959,62,372260,,
11/12/1965,55,161947,,
6/25/1978,43,692559,,
7/4/1998,23,418186,,
12/19/1988,32,110847,,
12/8/1977,43,572985,,
1/28/1995,26,277958,,
4/19/1975,46,556725,,
4/30/2004,17,618939,,
9/21/2012,8,21281,,
3/5/1973,48,333668,,
7/2/1995,26,118413,,
6/29/1976,45,105044,,
11/2/1990,30,623574,,
3/19/2002,19,686967,,
6/19/1988,33,31546,,
10/21/1995,25,751164,,
12/7/1985,35,54209,,
8/24/1989,32,766282,,
10/20/1992,28,13293,,
4/13/1985,36,281325,,
4/9/1984,37,779209,,
10/13/1963,57,186269,,
6/3/2007,14,348994,,
12/22/1993,27,846900,,
7/16/1956,65,659466,,
11/19/1960,60,710394,,
9/8/1966,55,385173,,
10/22/1978,42,908054,,
10/3/1958,62,539336,,
9/16/1985,36,93124,,
5/15/1975,46,264555,,
3/6/1996,25,845140,,
1/29/1981,40,885745,,
12/1/1987,33,895449,,
11/21/1971,49,232030,,
7/19/1959,62,332971,,
1/9/2008,13,952490,,
7/25/2003,18,344737,,
10/9/1957,63,907814,,
8/20/1977,44,837324,,
3/31/1982,39,138963,,
2/27/1961,60,562159,,
3/21/1987,34,60590,,
1/10/1959,62,988290,,
5/15/1991,30,400016,,
2/11/1966,55,12730,,
11/8/1972,48,12329,,
8/16/1959,62,576043,,
8/19/2009,12,624529,,
7/4/1965,56,881758,,
3/7/1998,23,330720,,
10/6/2005,15,15601,,
2/3/2009,12,210556,,
6/11/1977,44,976988,,
4/1/1965,56,656727,,
8/21/1983,38,572925,,
2/6/1973,48,189705,,
7/22/1987,34,210735,,
10/24/1987,33,232655,,
5/4/1989,32,282483,,
8/11/2010,11,87813,,
10/20/1962,58,534869,,
7/5/1969,52,219774,,
12/13/1999,21,204570,,
4/29/1996,25,840388,,
2/12/1996,25,775917,,
9/3/1973,48,356851,,
5/23/1970,51,641,,
3/7/1970,51,539823,,
4/18/2011,10,709476,,
6/9/1987,34,950366,,
8/21/1978,43,147261,,
11/23/1978,42,463307,,
5/1/1981,40,259587,,
5/12/1961,60,329033,,
4/22/1965,56,408041,,
5/13/1983,38,93071,,
5/12/1984,37,962044,,
10/6/1989,31,682877,,
7/23/1998,23,938881,,
4/26/1999,22,104074,,
9/4/1973,48,949102,,
12/16/1984,36,154802,,
9/24/2004,16,832582,,
6/22/2009,12,241767,,
5/20/1998,23,731273,,
5/19/1998,23,621217,,
1/21/1959,62,273492,,
2/13/1989,32,723596,,
10/12/1985,35,813321,,
6/14/1963,58,453466,,
9/21/1993,27,141079,,
10/18/1964,56,717783,,
7/4/1970,51,366444,,
2/28/2011,10,275835,,
7/31/1971,50,66314,,
3/13/2015,6,632642,,
4/7/2005,16,12608,,
1/24/1956,65,829849,,
12/5/2012,8,814837,,
5/14/1988,33,764127,,
3/29/1967,54,320471,,
12/21/1971,49,969728,,
1/2/1984,37,751878,,
1/14/2000,21,433957,,
8/5/2003,18,11641,,
3/22/1976,45,635679,,
1/8/2004,17,619071,,
12/30/1993,27,230964,,
10/22/1979,41,243074,,
2/25/1999,22,317712,,
8/31/1994,27,397378,,
2/16/1990,31,765745,,
1/20/1960,61,741123,,
7/2/2010,11,170195,,
1/4/1975,46,961813,,
12/15/1995,25,228587,,
10/1/1980,40,285158,,
4/28/1962,59,508295,,
12/28/1962,58,489700,,
7/24/1968,53,163360,,
7/1/2003,18,341888,,
3/21/1980,41,770179,,
8/19/2004,17,801138,,
